part,level,category,passage,translation,question,choice1,choice2,choice3,choice4,answer,exp_correct,exp_wrong1,exp_wrong2,exp_wrong3,q1_num,q1_question,q1_choice1,q1_choice2,q1_choice3,q1_choice4,q1_answer,q1_exp_correct,q1_exp_wrong1,q1_exp_wrong2,q1_exp_wrong3,q2_num,q2_question,q2_choice1,q2_choice2,q2_choice3,q2_choice4,q2_answer,q2_exp_correct,q2_exp_wrong1,q2_exp_wrong2,q2_exp_wrong3,q3_num,q3_question,q3_choice1,q3_choice2,q3_choice3,q3_choice4,q3_answer,q3_exp_correct,q3_exp_wrong1,q3_exp_wrong2,q3_exp_wrong3,q4_num,q4_question,q4_choice1,q4_choice2,q4_choice3,q4_choice4,q4_answer,q4_exp_correct,q4_exp_wrong1,q4_exp_wrong2,q4_exp_wrong3,q5_num,q5_question,q5_choice1,q5_choice2,q5_choice3,q5_choice4,q5_answer,q5_exp_correct,q5_exp_wrong1,q5_exp_wrong2,q5_exp_wrong3
5,600-730,語彙,,すべての参加者は、来週のカンファレンスへの席を確保するために、事前にオンラインで登録する必要があります。,All participants are required to register online in ------- to secure their seats for next week's conference.,advance,time,return,common,advance,正解：名詞「advance」が適切です。「in advance」で「前もって、事前に」というTOEIC最頻出の群前置詞（熟語）を形成します。座席を確保するために「事前に」登録するという文脈に完璧に合致します。,不正解：time（時間）を当てはめると「in time」で「間に合って」という意味になりますが、一般的に予約や登録の手続きを前もって行う場合は in advance を使うのがビジネス上最適です。,不正解：return（戻ること、返却）を当てはめた「in return」は「お返しに、見返りとして」という意味になるため、文脈上完全に不自然です。,不正解：common（共通の）を当てはめた「in common」は「共通して、共同で」という意味の熟語を形成するため、登録の手続きに関する文脈には適合しません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,語彙,,新薬の臨床試験の初期結果は、慢性疾患の治療における潜在的なブレイクスルーを示唆しています。,The initial results of the clinical trial ------- a potential breakthrough in the treatment of chronic illnesses.,comply,indicate,pertain,coincide,indicate,正解：動詞「indicate（?を示す、示唆する）」が適切です。主語の「The initial results（初期の結果）」と結びつき、「潜在的な大進歩（breakthrough）を示している」というビジネス・科学論文で極めて自然な論理展開を作ります。,不正解：comply（従う、順守する）は、規則や法律を対象とする自動詞であり、通常「comply with ?」の形で使用するため、後ろに直接目的語を取ることは文法・意味の両面で不可能です。,不正解：pertain（関係する、適する）も自動詞であり、通常「pertain to ?」の形で使用するため、前置詞なしで後ろに直接目的語（a potential breakthrough）を続けることはできません。,不正解：coincide（同時に起きる、一致する）も自動詞であり、通常「coincide with ?」の形で使われます。主語が「結果」であるため、前置詞なしで直接目的語を取る文脈には合いません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,語彙,,配送会社は、大雪の影響により、いくつかの地域で配達の遅延が避けられないことを発表しました。,The shipping company announced that delays in delivery are ------- in some regions due to the heavy snowfall.,inevitable,optional,temporary,prohibited,inevitable,正解：形容詞「inevitable（避けられない、不可避の）」が適切です。後半の「due to the heavy snowfall（大雪の影響により）」という明確な不可抗力の理由があるため、配達の遅延が「避けられない」という文脈が100%成立します。,不正解：optional（任意の、選択自由の）は、個人の意思で選べる状況を指すため、天候不良による遅延の発生の性質を表す形容詞としては意味が通りません。,不正解：temporary（一時的な）は期間を表す言葉です。文脈上、遅延自体は一時的かもしれませんが、「大雪のせいで遅延が?である」と述べる形容詞としては、避けられない（inevitable）とする方が因果関係としてより強固で自然です。,不正解：prohibited（禁止された）は、規則や法律で何かを差し止める際に使う表現であるため、天災による配達の遅延に対して適用するのは不自然です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,語彙,,新しいマーケティング戦略の成功は、チーム全体が最新の消費者動向をどう解釈するかにかかっています。,The success of the new marketing strategy depends on how the team ------- the latest consumer trends.,interprets,postpones,substitutes,advertises,interprets,正解：動詞「interprets（?を解釈する、分析する）」が適切です。マーケティングチームが消費者の動向（trends）をどのように「読み解き、解釈するか」が戦略の成否を分ける、というビジネスシーンで非常に洗練された論理展開になります。,不正解：postpones（?を延期する）は、動向（trends）という抽象的な現象をターゲットにする動詞としては意味が成立しません。延期できるのはイベントや会議などの日程です。,不正解：substitutes（?を代用する）は、「substitute A for B（Bの代わりにAを代用する）」などの形で使うため、消費者動向を単独で代用するという文脈は通りません。,不正解：advertises（?を宣伝する）は、自社の商品やサービスをアピールする行為です。消費者動向（他人の動き）そのものをチームが宣伝するというのは意味が不自然です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,品詞・語形,,その不動産開発業者は、歴史的な劇場を近代的な複合商業施設へと改装する計画を提案しました。,The real estate developer proposed a plan to renovate the historic theater into a ------- commercial complex.,modern,modernize,modernly,modernization,modern,正解：形容詞「modern（近代的な、現代の）」が正解です。空欄の後ろにある「commercial complex（複合商業施設）」という名詞の塊を前から直接修飾できるのは形容詞だけです。「近代的な商業施設」という綺麗な名詞句が完成します。,不正解：modernizeは動詞（近代化する）です。名詞の前において直接名詞を修飾することはできないため、文法規則により弾かれます。,不正解：modernlyは副詞（現代風に）です。副詞は名詞を直接修飾することができないため、commercial complex の前に単独で置くことは文法上不可能です。,不正解：modernizationは名詞（近代化）です。すでに後ろに複合商業施設という名詞があるため、接続詞や前置詞なしで名詞をそのまま重ねると文法エラーになります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,品詞・語形,,新工場の設立により、当社の地域における年間生産能力は大幅に向上するでしょう。,The establishment of the new factory will ------- increase our annual production capacity in the region.,significance,significant,significantly,signified,significantly,正解：副詞「significantly（著しく、大幅に）」が正解です。空欄の後ろにある動詞「increase（増加させる）」を直接修飾する役割を持っています。助動詞（will）と動詞（increase）の間に挟まれて動詞の度合いを強めることができるのは副詞だけです。,不正解：significanceは名詞（重要性、意味）です。助動詞 will の直後に名詞を置いて、さらに後ろの動詞へと繋げる文法構造は存在しません。,不正解：significantは形容詞（重大な、著しい）です。形容詞は動詞 increase を直接修飾することはできないため文法的に間違いです。,不正解：signifiedは動詞 signify（?を意味する、示す）の過去形・過去分詞です。すでに will increase という本動詞のセットがあるため、ここに別の動詞を重ねることはできません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,品詞・語形,,すべての従業員は、会社のデータベースにアクセスする際、厳格なセキュリティ手順を守らなければなりません。,All employees must show strict ------- to the security procedures when accessing the company database.,adhere,adherence,adherent,adhered,adherence,正解：名詞「adherence（順守、固守）」が正解です。空欄の前には「strict（厳格な）」という形容詞があります。形容詞の直後であり、かつ他動詞 show の目的語になれるのは名詞だけです。「strict adherence to ?（?への厳格な順守）」はTOEICで非常によく狙われる重要表現です。,不正解：adhereは動詞（固守する、従う）です。形容詞 strict の後ろに動詞の原形を単独で配置することは文法上認められません。,不正解：adherentは名詞（支持者、信奉者）または形容詞です。名詞ではありますが、「人」を表すため、「セキュリティ手順への【支持者】を見せなければならない」となり、意味が完全に崩壊します。,不正解：adheredは動詞 adhere の過去形・過去分詞です。形容詞の直後に動詞の変形を置いて目的語にすることはできません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,品詞・語形,,新しいマーケティングキャンペーンの予算承認は、取締役会によって迅速に行われました。,The budget approval for the new marketing campaign was ------- granted by the board of directors.,prompt,promptly,promptness,prompted,promptly,正解：副詞「promptly（迅速に、即座に）」が正解です。受動態の「was ＋ 過去分詞（granted）」の間に割り込んで、動作のスピードを修飾できるのは副詞だけです。「迅速に承認された（was promptly granted）」という非常に綺麗な受動態の文章になります。,不正解：promptは形容詞（迅速な）または動詞です。受動態の be 動詞と過去分詞の間に形容詞を単独で挟み込むことは文法的にできません。,不正解：promptnessは名詞（迅速さ）です。名詞をこの位置に挟むと、受動態の構造を破壊してしまうため文法エラーとなります。,不正解：promptedは動詞 prompt（?を促す）の過去形・過去分詞です。すでに be 動詞（was）と本動詞（granted）があるため、意味のない過去分詞をさらに重ねることはできません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,前置詞・接続詞,,悪天候の予報が出ていたにもかかわらず、屋外の製品実演会は予定通り開催されました。,"------- the forecast of severe weather, the outdoor product demonstration was held as scheduled.",Despite,Although,Even though,In addition,Despite,正解：前置詞「Despite（?にもかかわらず）」が正解です。空欄の後ろにある「the forecast of severe weather（悪天候の予報）」は、主語と動詞を含まない【名詞の塊（句）】です。名詞句を後ろに従えて「?にもかかわらず」と逆接を表現できるのは前置詞の Despite だけです。,不正解：Althoughは接続詞（?だけれども）です。後ろに「主語 ＋ 動詞」の完全な文章（節）がなければならないため、名詞句しか存在しない今回は文法的に誤りです。,不正解：Even thoughも接続詞（?にもかかわらず）です。Althoughと同様に、後ろに動詞を含む節が必要不可欠なため、名詞句の前には置けません。,不正解：In additionは副詞句（さらに、加えて）です。単独で文頭に置く場合はカンマが必要であり、前置詞のように後ろの名詞を直接結合して文頭に置くことはできません（In addition to であれば可能です）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,前置詞・接続詞,,技術チームがすべてのシステムエラーを解決するまで、新しいウェブサイトは一般公開されません。,The new website will not be launched ------- the technical team resolves all system errors.,until,unless,despite,because of,until,正解：接続詞「until（?まで）」が正解です。空欄の後ろに「the technical team（主語） ＋ resolves（動詞）」という文章が続いており、「解決する【ときまで】公開されない」という時間の期限を表す文脈に完璧に合致します。,不正解：unlessは接続詞（?でない限り）です。文法的には文章を続けられますが、当てはめると「エラーを解決しない限り公開されない」という意味なら通じます。しかし今回は affirmative（肯定）の resolves が直接来ているため、意味が不自然にねじれてしまいます。,不正解：despiteは前置詞（?にもかかわらず）です。前置詞の後ろに「主語 ＋ 動詞」の文章を直接展開することは文法規則により不可能です。,不正解：because ofは群前置詞（?のために）です。despiteと同様に前置詞の性質を持つため、後ろに節（文章）を直接繋ぐことはできません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,前置詞・接続詞,,プロジェクトの全行程が予算内に収まるように、すべての経費は部門長によって慎重に監視されなければなりません。,All expenses must be carefully monitored ------- the entire project remains within budget.,so that,in order to,because of,provided,so that,正解：接続詞「so that（?するために、?となるように）」が正解です。空欄の後ろには「the entire project（主語） ＋ remains（動詞）」という文章が続いています。目的・意図を表す接続詞として、後ろに「主語＋動詞」を従えることができるso thatが文法・意味ともに大正解です。,不正解：in order toは、目的を表す言葉ですが後ろに「動詞の原形」を直接続けなければならない【不定詞の句】です。後ろに主語（the entire project）が来ているため配置できません。,不正解：because ofは前置詞（?のために）です。後ろに「主語 ＋ 動詞」の文章を直接繋ぐことはできないため、文法的にエラーとなります。,不正解：providedは接続詞（もし?ならば、?という条件で）です。文法的には文章を続けられますが、意味が「予算内に収まる条件なら、経費を監視しなければならない」となり、論理の因果関係が逆になってしまいます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,前置詞・接続詞,,既存の顧客層を維持する一方で、当社は新しいデジタルキャンペーンを通じて若い世代を惹きつける必要があります。,"------- retaining our existing customer base, we need to attract the younger generation through digital campaigns.",While,In addition to,Although,Therefore,In addition to,正解：群前置詞「In addition to（?に加えて）」が正解です。空欄の後ろにある「retaining（維持すること）」は動名詞（名詞の性質）です。後ろに名詞を従えて「現在の顧客を維持すること【に加えて】、若い世代も惹きつける必要がある」という追加の文脈を綺麗に成立させます。,不正解：Whileは接続詞（?する一方で、?の間）です。Whileの後ろに分詞構文（While retaining）として残る形はありますが、意味が「顧客層を維持している一方で、若い世代を惹きつける」となり、追加のニュアンス（両方やる）に比べて論理の焦点が弱くなります。,不正解：Althoughは接続詞（?だけれども）です。分詞構文として Although retaining とすることは可能ですが、意味が「顧客を維持しているのにもかかわらず、若い世代を惹きつける必要がある」となり、対立関係が非常に不自然になります。,不正解：Thereforeは副詞（したがって）です。単独で文頭に置いて後ろに直接名詞や動名詞を結合する機能は持っていません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,代名詞・関係代名詞,,インターンたちは、シニアコンサルタントの丁寧な指導に対して、彼に深い感謝の意を表しました。,The interns expressed their gratitude to the senior consultant for ------- patient guidance during the project.,his,him,himself,he,his,正解：所有格の代名詞「his（彼の）」が正解です。空欄の後ろにある「patient guidance（辛抱強い指導）」は名詞句です。名詞の前に割り込んで「彼の指導」と所有の関係を示すことができるのは所有格の his だけです。,不正解：himは目的格（彼に、彼を）です。前置詞 for の後ろだから目的格と考えがちですが、直後に guidance という名詞本体が控えているため、名詞を前から修飾することはできません。,不正解：himselfは再帰代名詞（彼自身）です。主語（The interns）と異なる人物を指して名詞の前に割り込み、所有格のような働きをすることは文法上不可能です。,不正解：heは主格（彼は）です。動詞の主語になる位置にしか置けないため、名詞句の直前に置いて所有を表すことはできません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,語彙,,研究開発チームは、新しいソフトウェアが既存のすべてのオペレーティングシステムと互換性があることを確認しました。,The research team confirmed that the new software is ------- with all existing operating systems.,compatible,comparable,competitive,compassionate,compatible,正解：形容詞「compatible（互換性がある、適合する）」が適切です。「be compatible with ?（?と互換性がある）」はIT・ビジネス分野の超必須フレーズであり、既存のOSとシステムが連動するという文脈に完璧に合致します。,不正解：comparable（匹敵する、同様の）は、規模や能力が他と同等であることを表すため、「OSと互換性がある」という意味にはなりません。,不正解：competitive（競争力のある、他に負けない）は、市場での優位性（competitive priceなど）を表す形容詞であるため、システム間の適合性を述べる文脈には合いません。,不正解：compassionate（思いやりのある、慈悲深い）は、人の性格や態度に対して使う表現であるため、ソフトウェアの性能に対して用いるのは完全に不自然です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,語彙,,渡辺氏は、その卓越した交渉スキルによって、海外のクライアントとの極めて重要な契約をなんとか獲得しました。,"Ms. Watanabe managed to ------- a crucial contract with the overseas client, thanks to her exceptional negotiation skills.",secure,abandon,postpone,contradict,secure,正解：動詞「secure（?を確保する、獲得する）」が適切です。ビジネス英語において「契約を確保する・勝ち取る（secure a contract）」は頻出のコロケーション（定型表現）であり、交渉スキルの結果として契約を結べたという文脈に最適です。,不正解：abandon（?をあきらめる、破棄する）は、途中で契約を放り出すという意味になってしまうため、卓越したスキルによって「なんとか?した」という前向きな文脈と完全に矛盾します。,不正解：postpone（?を延期する）を当てはめると、契約の手続き自体を先送りにしたことになり、わざわざ交渉スキルを褒めている理由と論理が繋がりません。,不正解：contradict（?と矛盾する、反論する）は、意見やデータが食い違うことを表す動詞であるため、契約（contract）を目的語に取る動詞としては意味が通りません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,語彙,,すべてのマネージャーは、予算支出の大幅な変更について、財務責任者に速やかに通知しなければなりません。,All managers must ------- notify the chief financial officer of any significant changes in budget expenditures.,promptly,scarcely,accidentally,vaguely,promptly,正解：副詞「promptly（速やかに、即座に）」が適切です。「must promptly notify（速やかに通知しなければならない）」と動詞を修飾し、予算変更という重要事項を遅滞なく報告するビジネス上の義務を明確に表すことができます。,不正解：scarcely（ほとんど?ない）は準否定語です。動詞を否定してしまうため、「変更をほとんど通知してはならない」という意味不明な文になってしまいます。,不正解：accidentally（誤って、偶然に）は、意図せずうっかりやってしまったことを指すため、「?しなければならない」という強い義務の指示に対して組み合わせるのは不自然です。,不正解：vaguely（あいまいにおぼろげに）は、記憶や理解が不鮮明な様子を表すため、財務責任者への正確な報告を求める文脈には適しません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,語彙,,長引く経済の不確実性に対応するため、取締役会は会社の財務基盤を守るべく、慎重な戦略を採用しました。,"In response to prolonged economic uncertainty, the board of directors adopted a ------- strategy to protect assets.",prudent,vulnerable,superficial,hazardous,prudent,正解：形容詞「prudent（慎重な、賢明な）」が適切です。経済が不確実な（uncertainty）状況において、資産や基盤を守る（protect）ために「慎重・堅実な経営戦略をとる」というのは、ビジネスの論理として非常に自然で美しい流れです。,不正解：vulnerable（脆弱な、傷つきやすい）は、基盤やセキュリティが弱い状態を指すため、自ら進んで「弱い戦略を採用した」とする文脈は通りません。,不正解：superficial（うわべだけの、浅薄な）は、表面的な対応を批判する際などに使う言葉なので、企業の資産保護に向けた本格的な戦略の性質としては不適切です。,不正解：hazardous（危険な、有害な）は、健康や安全、経営を脅かすリスクが高いことを表すため、資産を守るという防衛的な目的と完全に矛盾します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,品詞・語形,,マーケティング調査報告書によると、当社の新しいスキンケア製品に対する消費者の需要は非常に安定しています。,"According to the marketing report, consumer demand for our new skincare products is remarkably -------.",stable,stability,stabilize,stably,stable,正解：形容詞「stable（安定した）」が正解です。空欄の前には be 動詞（is）と、それを修飾する副詞「remarkably（著しく）」があります。副詞の修飾を受け、be 動詞の後ろで主格補語（C）になれるのは形容詞だけです。,不正解：stabilityは名詞（安定、安定性）です。remarkably という副詞で直接名詞を修飾することはできないため、文法エラーとなります。,不正解：stabilizeは動詞（安定させる、安定する）です。be 動詞（is）の直後に接続詞なしで動詞の原形を重ねて配置することはできません。,不正解：stablyは副詞（安定して）です。be 動詞の補語として副詞を単独で置くことはできないため、文法規則により弾かれます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
